operator_id,operator_name,point_id,site_external_id,connector_type,charging_mode,voltage,max_current,max_power_w,expected_w,ratio,categoria,severidade
ACCI,"ACCIONA RECARGA PORTUGAL,UNIPESSOAL LDA",11,GRD-00044,chademo,mode4DC,400.0,250.0,50000.0,100000.0,0.5,sub-declaração,MÉDIO
ACCI,"ACCIONA RECARGA PORTUGAL,UNIPESSOAL LDA",16,LSB-01305,iec62196T2COMBO,mode4DC,400.0,250.0,50000.0,100000.0,0.5,sub-declaração,MÉDIO
ACCI,"ACCIONA RECARGA PORTUGAL,UNIPESSOAL LDA",17,LSB-01305,chademo,mode4DC,400.0,250.0,50000.0,100000.0,0.5,sub-declaração,MÉDIO
ACCI,"ACCIONA RECARGA PORTUGAL,UNIPESSOAL LDA",40,VRL-00064,iec62196T2COMBO,mode4DC,1000.0,400.0,200000.0,400000.0,0.5,sub-declaração,MÉDIO
ACCI,"ACCIONA RECARGA PORTUGAL,UNIPESSOAL LDA",41,VRL-00064,iec62196T2COMBO,mode4DC,1000.0,400.0,200000.0,400000.0,0.5,sub-declaração,MÉDIO
ACCI,"ACCIONA RECARGA PORTUGAL,UNIPESSOAL LDA",19,PRT-00361,iec62196T2COMBO,mode4DC,920.0,375.0,175000.0,345000.0,0.507,sub-declaração,MÉDIO
ACCI,"ACCIONA RECARGA PORTUGAL,UNIPESSOAL LDA",20,LSB-01319,iec62196T2COMBO,mode4DC,920.0,375.0,175000.0,345000.0,0.507,sub-declaração,MÉDIO
ACCI,"ACCIONA RECARGA PORTUGAL,UNIPESSOAL LDA",21,VRL-00062,iec62196T2COMBO,mode4DC,1000.0,300.0,200000.0,300000.0,0.667,sub-declaração,MÉDIO
ACCI,"ACCIONA RECARGA PORTUGAL,UNIPESSOAL LDA",22,VRL-00062,iec62196T2COMBO,mode4DC,1000.0,300.0,200000.0,300000.0,0.667,sub-declaração,MÉDIO
ACCI,"ACCIONA RECARGA PORTUGAL,UNIPESSOAL LDA",27,VRL-00063,iec62196T2COMBO,mode4DC,1000.0,215.0,150000.0,215000.0,0.698,sub-declaração,MÉDIO
ACCI,"ACCIONA RECARGA PORTUGAL,UNIPESSOAL LDA",28,VRL-00063,iec62196T2COMBO,mode4DC,1000.0,215.0,150000.0,215000.0,0.698,sub-declaração,MÉDIO
ACCI,"ACCIONA RECARGA PORTUGAL,UNIPESSOAL LDA",29,VRL-00061,iec62196T2COMBO,mode4DC,1000.0,215.0,150000.0,215000.0,0.698,sub-declaração,MÉDIO
ACCI,"ACCIONA RECARGA PORTUGAL,UNIPESSOAL LDA",30,VRL-00061,iec62196T2COMBO,mode4DC,1000.0,215.0,150000.0,215000.0,0.698,sub-declaração,MÉDIO
ALFA,Alfa Energia,AND-00014-01,AND-00014,iec62196T2COMBO,mode4DC,1000.0,200.0,40000.0,200000.0,0.2,sub-declaração,MÉDIO
ALFA,Alfa Energia,AND-00014-02,AND-00014,iec62196T2COMBO,mode4DC,1000.0,200.0,40000.0,200000.0,0.2,sub-declaração,MÉDIO
ATLA,"Atlante Infra Portugal, S.A",CSC-00518-01,CSC-00518,iec62196T2,mode2AC1p,230.0,10.0,7400.0,2300.0,3.217,sobre-declaração,CRÍTICO
ATLA,"Atlante Infra Portugal, S.A",CSC-00518-02,CSC-00518,iec62196T2,mode2AC1p,230.0,10.0,7400.0,2300.0,3.217,sobre-declaração,CRÍTICO
ATLA,"Atlante Infra Portugal, S.A",ALR-80001-01,ALR-80001,iec62196T2,mode3AC3p,230.0,10.0,8000.0,3983.7,2.008,sobre-declaração,CRÍTICO
ATLA,"Atlante Infra Portugal, S.A",ALR-80001-02,ALR-80001,iec62196T2,mode3AC3p,230.0,10.0,8000.0,3983.7,2.008,sobre-declaração,CRÍTICO
ATLA,"Atlante Infra Portugal, S.A",CSC-00511-01,CSC-00511,iec62196T2,mode3AC3p,230.0,10.0,7400.0,3983.7,1.858,sobre-declaração,CRÍTICO
